,InterZone,All people,Area (hectares),simd1_pop,simd2_pop,simd3_pop,simd4_pop,simd5_pop,simdMostPop,simd1_percent,simd2_percent,simd3_percent,simd4_percent,simd5_percent
161,S02001397,2112,4156,496,818,798,0,0,2,0.23484848484848486,0.3873106060606061,0.3778409090909091,0.0,0.0
162,S02001398,4835,188,675,1794,1335,0,1031,2,0.13960703205791106,0.37104446742502584,0.2761116856256463,0.0,0.21323681489141674
163,S02001399,3520,3318,0,0,0,924,2596,5,0.0,0.0,0.0,0.2625,0.7375
164,S02001400,4408,2915,774,1509,623,1502,0,2,0.17558983666061706,0.3423321234119782,0.1413339382940109,0.3407441016333938,0.0
165,S02001401,5220,763,2462,1592,0,643,523,1,0.47164750957854407,0.3049808429118774,0.0,0.1231800766283525,0.10019157088122606
166,S02001402,4910,178,4123,787,0,0,0,1,0.8397148676171079,0.16028513238289205,0.0,0.0,0.0
167,S02001403,5598,147,1137,2618,0,1249,594,2,0.20310825294748125,0.4676670239371204,0.0,0.22311539835655592,0.10610932475884244
168,S02001404,3456,328,0,579,2337,540,0,3,0.0,0.1675347222222222,0.6762152777777778,0.15625,0.0
169,S02001405,3670,115,1579,1261,0,830,0,1,0.43024523160762945,0.34359673024523163,0.0,0.22615803814713897,0.0
170,S02001406,2791,110,903,1032,856,0,0,2,0.3235399498387675,0.3697599426728771,0.3067001074883554,0.0,0.0
171,S02001407,3606,132,0,3606,0,0,0,2,0.0,1.0,0.0,0.0,0.0
172,S02001408,3825,23275,0,1851,1974,0,0,3,0.0,0.483921568627451,0.516078431372549,0.0,0.0
173,S02001409,2127,12607,0,2127,0,0,0,2,0.0,1.0,0.0,0.0,0.0
174,S02001410,2676,63303,0,1999,677,0,0,2,0.0,0.7470104633781763,0.2529895366218236,0.0,0.0
175,S02001411,5127,30148,0,2446,2681,0,0,3,0.0,0.47708211429685976,0.5229178857031402,0.0,0.0
176,S02001412,5507,46896,0,3606,1296,0,605,2,0.0,0.6548029780279644,0.23533684401670601,0.0,0.10986017795532958
177,S02001413,3465,37702,0,0,3015,450,0,3,0.0,0.0,0.8701298701298701,0.12987012987012986,0.0
178,S02001414,5302,20457,0,551,3298,787,666,3,0.0,0.10392304790645039,0.6220294228592984,0.14843455299886835,0.12561297623538287
179,S02001415,4933,6999,0,0,4933,0,0,3,0.0,0.0,1.0,0.0,0.0
180,S02001416,4227,181,0,866,1916,778,667,3,0.0,0.20487343269458244,0.45327655547669743,0.18405488526141472,0.1577951265673054
181,S02001417,2431,19658,0,0,565,1866,0,4,0.0,0.0,0.23241464417935007,0.7675853558206499,0.0
182,S02001418,3664,81360,0,0,3664,0,0,3,0.0,0.0,1.0,0.0,0.0
183,S02001419,4810,27398,1320,2975,0,515,0,2,0.27442827442827444,0.6185031185031185,0.0,0.10706860706860707,0.0
184,S02001420,4154,44677,0,0,3197,957,0,3,0.0,0.0,0.7696196437168994,0.23038035628310063,0.0
185,S02001421,4525,34697,0,0,3937,588,0,3,0.0,0.0,0.8700552486187846,0.12994475138121547,0.0
186,S02001422,3083,8144,0,0,2188,895,0,3,0.0,0.0,0.70969834576711,0.29030165423289006,0.0
187,S02001423,5991,154,4459,1532,0,0,0,1,0.7442830913036221,0.2557169086963779,0.0,0.0,0.0
188,S02001424,4923,212,1056,2142,906,819,0,2,0.21450335161486897,0.4351005484460695,0.18403412553321147,0.1663619744058501,0.0
189,S02001425,3531,96,0,694,576,756,1505,5,0.0,0.19654488813367318,0.1631265930331351,0.2141036533559898,0.42622486547720195
190,S02001426,3545,13118,0,551,2994,0,0,3,0.0,0.1554301833568406,0.8445698166431593,0.0,0.0
191,S02001427,3246,7619,0,840,2406,0,0,3,0.0,0.2587800369685767,0.7412199630314233,0.0,0.0
192,S02001428,2950,84,0,0,0,631,2319,5,0.0,0.0,0.0,0.21389830508474575,0.7861016949152543
193,S02001429,2888,66,0,0,0,1442,1446,5,0.0,0.0,0.0,0.49930747922437674,0.5006925207756233
194,S02001430,3393,130,1961,1432,0,0,0,1,0.577954612437371,0.42204538756262894,0.0,0.0,0.0
195,S02001431,3436,136,0,736,1856,0,844,3,0.0,0.21420256111757857,0.540162980209546,0.0,0.24563445867287545
196,S02001432,3022,97,0,1157,630,656,579,2,0.0,0.3828590337524818,0.2084712111184646,0.21707478491065518,0.1915949702183984
