DataZone,InterZone,MMWard,Council,SPConst,CHP,HBCode
S01006620,S02001256,S13002488,S12000033,S16000076,S03000012,S08000020
S01006621,S02001256,S13002488,S12000033,S16000076,S03000012,S08000020
S01006622,S02001256,S13002488,S12000033,S16000076,S03000012,S08000020
S01006623,S02001256,S13002488,S12000033,S16000076,S03000012,S08000020
S01006624,S02001257,S13002487,S12000033,S16000076,S03000012,S08000020
S01006625,S02001257,S13002487,S12000033,S16000076,S03000012,S08000020
S01006626,S02001257,S13002487,S12000033,S16000076,S03000012,S08000020
S01006627,S02001257,S13002487,S12000033,S16000076,S03000012,S08000020
S01006628,S02001257,S13002487,S12000033,S16000076,S03000012,S08000020
S01006629,S02001257,S13002487,S12000033,S16000076,S03000012,S08000020
S01006630,S02001257,S13002487,S12000033,S16000076,S03000012,S08000020
S01006631,S02001258,S13002487,S12000033,S16000076,S03000012,S08000020
S01006632,S02001258,S13002487,S12000033,S16000076,S03000012,S08000020
S01006633,S02001258,S13002487,S12000033,S16000076,S03000012,S08000020
S01006634,S02001258,S13002487,S12000033,S16000076,S03000012,S08000020
S01006635,S02001258,S13002487,S12000033,S16000076,S03000012,S08000020
S01006636,S02001258,S13002487,S12000033,S16000076,S03000012,S08000020
S01006637,S02001259,S13002483,S12000033,S16000074,S03000012,S08000020
S01006638,S02001259,S13002483,S12000033,S16000074,S03000012,S08000020
S01006639,S02001259,S13002483,S12000033,S16000074,S03000012,S08000020
S01006640,S02001259,S13002483,S12000033,S16000074,S03000012,S08000020
S01006641,S02001260,S13002483,S12000033,S16000074,S03000012,S08000020
S01006642,S02001260,S13002483,S12000033,S16000074,S03000012,S08000020
S01006643,S02001260,S13002483,S12000033,S16000074,S03000012,S08000020
S01006644,S02001260,S13002481,S12000033,S16000074,S03000012,S08000020
S01006645,S02001261,S13002483,S12000033,S16000074,S03000012,S08000020
S01006646,S02001261,S13002483,S12000033,S16000074,S03000012,S08000020
S01006647,S02001261,S13002483,S12000033,S16000074,S03000012,S08000020
S01006648,S02001261,S13002483,S12000033,S16000074,S03000012,S08000020
S01006649,S02001261,S13002483,S12000033,S16000074,S03000012,S08000020
S01006650,S02001261,S13002483,S12000033,S16000074,S03000012,S08000020
S01006651,S02001261,S13002483,S12000033,S16000074,S03000012,S08000020
S01006652,S02001261,S13002483,S12000033,S16000074,S03000012,S08000020
S01006653,S02001262,S13002482,S12000033,S16000074,S03000012,S08000020
S01006654,S02001262,S13002482,S12000033,S16000074,S03000012,S08000020
S01006655,S02001262,S13002482,S12000033,S16000074,S03000012,S08000020
S01006656,S02001262,S13002482,S12000033,S16000074,S03000012,S08000020
S01006657,S02001262,S13002480,S12000033,S16000074,S03000012,S08000020
S01006658,S02001263,S13002483,S12000033,S16000074,S03000012,S08000020
S01006659,S02001263,S13002483,S12000033,S16000074,S03000012,S08000020
S01006660,S02001263,S13002481,S12000033,S16000074,S03000012,S08000020
S01006661,S02001263,S13002481,S12000033,S16000074,S03000012,S08000020
S01006662,S02001263,S13002481,S12000033,S16000074,S03000012,S08000020
S01006663,S02001263,S13002481,S12000033,S16000074,S03000012,S08000020
S01006664,S02001263,S13002483,S12000033,S16000074,S03000012,S08000020
S01006665,S02001263,S13002483,S12000033,S16000074,S03000012,S08000020
S01006666,S02001264,S13002481,S12000033,S16000074,S03000012,S08000020
S01006667,S02001264,S13002481,S12000033,S16000074,S03000012,S08000020
S01006668,S02001264,S13002481,S12000033,S16000074,S03000012,S08000020
S01006669,S02001264,S13002481,S12000033,S16000074,S03000012,S08000020
S01006670,S02001264,S13002481,S12000033,S16000074,S03000012,S08000020
S01006671,S02001265,S13002481,S12000033,S16000074,S03000012,S08000020
S01006672,S02001265,S13002481,S12000033,S16000074,S03000012,S08000020
S01006673,S02001265,S13002481,S12000033,S16000074,S03000012,S08000020
