,InterZone,All people,Area (hectares),Density
483,S02001719,2736,94,29.10638298
484,S02001720,3751,1741,2.154508903
485,S02001721,3227,66,48.89393939
486,S02001722,2594,1442,1.79889043
487,S02001723,4753,6345,0.749093775
488,S02001724,2973,195,15.24615385
489,S02001725,4115,136,30.25735294
490,S02001726,4455,509,8.752455796
491,S02001727,4128,1485,2.77979798
492,S02001728,3361,126,26.67460317
493,S02001729,3256,95,34.27368421
494,S02001730,4920,219,22.46575342
495,S02001731,3298,71,46.45070423
496,S02001732,4443,143,31.06993007
497,S02001733,3901,98,39.80612245
498,S02001734,4470,1280,3.4921875
499,S02001735,3167,72,43.98611111
500,S02001736,3093,158,19.57594937
501,S02001737,4889,1251,3.908073541
502,S02001738,3001,2192,1.369069343
503,S02001739,4078,1497,2.724114896
504,S02001740,3178,7960,0.399246231
505,S02001741,3604,2222,1.621962196
506,S02001742,2909,923,3.151679307
507,S02001743,4079,1953,2.088581669
508,S02001744,3683,131,28.11450382
509,S02001745,3434,105,32.7047619
510,S02001746,4426,101,43.82178218
511,S02001747,3197,136,23.50735294
512,S02001748,3241,85,38.12941176
513,S02001749,3125,100,31.25
514,S02001750,5372,604,8.894039735
515,S02001751,3123,238,13.12184874
516,S02001752,2804,78,35.94871795
517,S02001753,3500,77,45.45454545
518,S02001754,2888,48,60.16666667
519,S02001755,3899,80,48.7375
520,S02001756,2125,285,7.456140351
521,S02001757,3813,228,16.72368421
522,S02001758,2618,141,18.56737589
523,S02001759,3018,77,39.19480519
524,S02001760,3171,79,40.13924051
525,S02001761,3547,94,37.73404255
526,S02001762,3844,436,8.816513761
527,S02001763,3307,211,15.67298578
528,S02001764,3111,299,10.40468227
529,S02001765,2739,77,35.57142857
530,S02001766,4452,134,33.2238806
531,S02001767,2683,132,20.32575758
532,S02001768,3171,956,3.316945607
533,S02001769,3265,1027,3.17916261
534,S02001770,3107,113,27.49557522
535,S02001771,4396,2236,1.966010733
536,S02001772,2738,77,35.55844156
537,S02001773,3646,95,38.37894737
538,S02001774,2779,1076,2.582713755
539,S02001775,2960,67,44.17910448
540,S02001776,5931,3656,1.62226477
541,S02001777,4354,170,25.61176471
542,S02001778,3147,62,50.75806452
543,S02001779,3052,5529,0.551998553
544,S02001780,3693,834,4.428057554
545,S02001781,2690,76,35.39473684
546,S02001782,2826,108,26.16666667
547,S02001783,4470,1000,4.47
